fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
3,20,10,8883,18.76618259596983,-2206.656240475886,0.9002655388625068,2555.0758639848814
3,20,15,8888,18.508100810081007,-2242.674491199593,0.8991188928221752,2604.1878798596745
3,25,10,7649,18.45992940253628,-1468.150451730667,0.9230568428637083,1842.3336917752354
3,25,15,7560,18.267195767195766,-1547.6319145904479,0.9183171849470325,1926.9815251132711
3,25,20,7647,18.373218255525043,-1387.769098219181,0.9272681431807945,1786.9171850173861
3,30,10,6733,18.56527550868855,-1231.6269629404892,0.9281059233582144,1582.8212216688876
3,30,15,6643,18.545837723919917,-1118.4523284751692,0.933949197410473,1435.4906722606668
3,30,20,6623,18.54144647440737,-1155.6333780328412,0.9325874148367089,1467.29010786524
3,30,25,6753,18.258551754775656,-1100.6196011527545,0.9366401649044815,1384.1265322154604
3,35,10,6075,18.255144032921812,-1518.928857195053,0.9008632698635167,1718.8076758765922
3,35,15,5947,18.177232217925003,-1387.0862846134792,0.9073219759682575,1604.2568982942348
3,35,20,5909,18.05720088001354,-1429.9861657052247,0.9046316425607438,1615.803406266537
3,35,25,6006,18.065268065268064,-1249.494767771905,0.9176812666165137,1496.4411223492696
3,35,30,6133,17.935757378118375,-1310.3994513871303,0.9158656958121867,1699.8703449002037
3,40,10,5665,18.517210944395412,-832.0987158472167,0.9415819090145745,928.5339370539741
3,40,15,5498,18.42488177519098,-711.8613131416348,0.948457409097012,829.0125249105442
3,40,20,5463,18.451400329489292,-587.123218400048,0.957113855229245,690.6184396068059
3,40,25,5497,18.28269965435692,-610.7681772099653,0.9557873226608067,681.7831028991267
3,40,30,5592,18.186695278969957,-699.7371803709922,0.950640760878496,866.0327130893634
3,45,10,5249,18.174890455324825,-236.71903662668933,0.9820629039049196,608.3576984096243
3,45,15,5100,18.45098039215686,140.5550315371081,1.0110876772039945,462.4160502819004
3,45,20,5037,18.40381179273377,156.2996470412251,1.012451069659277,502.17345139961617
3,45,25,5019,18.290496114763897,55.20996507061977,1.0043910937606062,532.6402112862706
3,45,30,5051,18.273609186299744,-26.831803139006183,0.9979017498493467,481.5610038093009
4,20,10,8037,19.273360706731367,-1756.195921967318,0.9136832963500229,2117.312265983869
4,20,15,8028,19.008470353761833,-1976.1930597605945,0.9032667687239588,2309.9948314092953
4,25,10,6903,19.701579023612922,-109.59795247843039,0.99364066528448,1126.009787736973
